<매칭 테이블>
oracle table	impala table	매칭기호
smicdc_nrd.mc_lot	MOS_KH_SMI.SMICDC_NRD_MC_LOT	a
smicdc_p3nrd.mc_lot	MOS_KH_SMI.SMICDC_P3NRD_MC_LOT	b
smicdc_nrdk.mc_lot	MOS_KH_SMI.SMICDC_NRDK_MC_LOT	c

<impala 테이블 컬럼>
매칭기호	컬럼명	datatype	pk
c	object_id	STRING	Y
c	lot_id	STRING	
c	lot_status_seg	STRING	
c	step_status_seg	STRING	
c	last_eqp_id	STRING	
c	prod_id	STRING	
c	last_event_date	STRING	
c	proc_id	STRING	
c	last_step_seq	STRING	
c	last_tkout_date	STRING	
c	cur_qty	DOUBLE	
c	start_qty	DOUBLE	
c	total_chip_qty	DOUBLE	
c	lot_type	STRING	
c	start_date	STRING	
c	due_date	STRING	
c	prirt_no	DOUBLE	
c	rework_yn	STRING	
c	last_ppid	STRING	
c	vendor_id	STRING	
c	last_event_id	STRING	
c	logical_split_type	STRING	
c	origin_line_id	STRING	
c	cur_line_id	STRING	
c	split_start_step_seq	STRING	
c	split_end_step_seq	STRING	
c	last_tkin_event_id	STRING	
c	comp_mode_yn	STRING	
c	step_seq	STRING	
c	last_tkin_date	STRING	
c	proc_start_date	STRING	
c	proc_end_date	STRING	
c	last_tkin_user_id	STRING	
c	main_tkout_date	STRING	
c	duv_eqp_id	STRING	
c	duv_step_seq	STRING	
c	ein_ecn_no	STRING	
c	not_zero_yn	STRING	
c	multi_delay_date	STRING	
c	alps_level	STRING	
c	batch_id	STRING	
c	carr_id	STRING	
c	dcol_mode	STRING	
c	hot_lot_level	STRING	
c	hj_lot_level	STRING	
c	ingot_id	STRING	
c	next_step_seq	STRING	
c	batch_zone_no	DOUBLE	
c	reticle_id	STRING	
c	rework_main_step_seq	STRING	
c	sample_slot_list	STRING	
c	start_lot_id	STRING	
c	last_lot_id	STRING	
c	hold_date	STRING	
c	origin_proc_id	STRING	
c	origin_step_seq	STRING	
c	send_event_date	STRING	
c	eqp_split_group_name	STRING	
c	ein_split_group_name	STRING	
c	bob_yn	STRING	
c	recln_cnt	DOUBLE	
c	area_name	STRING	
c	prev_duv_eqp_id	STRING	
c	prev_duv_step_seq	STRING	
c	step_arrive_date	STRING	
c	bay_name	STRING	
c	abnrml_type	STRING	
c	ncf_code	STRING	
c	ef_start_dttm	STRING	
c	proc_ver	STRING	
c	ewr_path_object_id	STRING	
c	sys_line_id	STRING	
c	bstskipstep	STRING	
c	order_seq	DOUBLE	
c	lot_level	DOUBLE	
a	object_id	STRING	Y
a	lot_id	STRING	
a	lot_status_seg	STRING	
a	step_status_seg	STRING	
a	last_eqp_id	STRING	
a	prod_id	STRING	
a	last_event_date	STRING	
a	proc_id	STRING	
a	last_step_seq	STRING	
a	last_tkout_date	STRING	
a	cur_qty	DOUBLE	
a	start_qty	DOUBLE	
a	total_chip_qty	DOUBLE	
a	lot_type	STRING	
a	start_date	STRING	
a	due_date	STRING	
a	prirt_no	DOUBLE	
a	rework_yn	STRING	
a	last_ppid	STRING	
a	vendor_id	STRING	
a	last_event_id	STRING	
a	logical_split_type	STRING	
a	origin_line_id	STRING	
