<매칭 테이블>
oracle table	impala table	impalatable매칭기호
SMICDC_NRDK.MC_LOT_STEP_COMMENT 	MOS_KH_SMI.SMICDC_NRDK_MC_LOT_STEP_COMMENT	k
SMICDC_P3NRD.MC_LOT_STEP_COMMENT 	MOS_KH_SMI.SMICDC_P3NRD_MC_LOT_STEP_COMMENT	j
smimes.mi_equipment 	MOS_KH_SMI.SMIMES_MI_EQUIPMENT	b
smimes.mi_eqp_group_list	MOS_KH_SMI.SMIMES_MI_EQP_GROUP_LIST	h
MEMMSS.FAB_ISSUE_LOT 	MOS_KH_SMI.MEMMSS_FAB_ISSUE_LOT	i
smicdc_nrdk.mc_lot	MOS_KH_SMI.SMICDC_NRDK_MC_LOT	e
smicdc_p3nrd.mc_lot	MOS_KH_SMI.SMICDC_P3NRD_MC_LOT	g
MI_LOT_TRANSN_HIST_V	FAB.M_LOT_TRANSN_HIST	l
smicdc_nrdk.mc_lot_step_path	MOS_KH_SMI.SMICDC_NRDK_MC_LOT_STEP_PATH	f
smicdc_p3nrd.mc_lot_step_path	MOS_KH_SMI.SMICDC_P3NRD_MC_LOT_STEP_PATH	d
smicdc_nrdk.trackinprevent 	MOS_KH_SMI.SMICDC_NRDK_TRACKINPREVENT	a
smicdc_p3nrd.trackinprevent 	MOS_KH_SMI.SMICDC_P3NRD_TRACKINPREVENT	c




<impala 테이블 컬럼>
impalatable매칭기호	column_name	data_type
b	impala_insert_time	TIMESTAMP
b	eqp_status_flag	STRING
b	eqp_id	STRING
b	sys_id	STRING
b	eqp_status	STRING
b	bay_name	STRING
b	eqp_act_version	DOUBLE
b	eqp_status_change_time	STRING
b	area_name	STRING
b	auto_man_flag	STRING
b	last_update_date	TIMESTAMP
b	operator_id	STRING
b	eqp_category	STRING
b	eqp_status_change_reason_code	STRING
b	line_id	STRING
b	origin_line_id	STRING
b	last_transn_sys_id	STRING
b	eqp_model	STRING
b	expo_work_use_flag	STRING
b	sdwt_code	STRING
b	sdwt_desc	STRING
b	sdwt_dept	STRING
b	day_tkout_target_value	STRING
b	ads_use_flag	STRING
b	side_dummy_cycle_time	STRING
b	ads_rule_name	STRING
b	ads_max_batch_capblt	DOUBLE
b	ads_batch_size	DOUBLE
b	ads_min_batch	DOUBLE
b	record_use_status_seg	STRING
b	eqp_parent_sys_id	STRING
b	eqp_online_flag	STRING
b	batch_eqp_seg	STRING
b	max_batch_size	STRING
b	min_batch_size	STRING
b	sub_eqp_type_seg	STRING
b	tkin_mode	STRING
b	room_name	STRING
b	process_group_name	STRING
b	scanner_type	STRING
b	eqp_zone	STRING
b	eqp_type	STRING
b	eqp_transn_comment	STRING
b	eqp_type_desc	STRING
b	remain_infor	STRING
b	tool_kind	STRING
b	tool_status	STRING
b	auto_dispch_flag	STRING
b	remain_update_time	STRING
b	eqp_parent_id	STRING
b	real_port	STRING
b	eqp_port_type	STRING
b	batch_kind	STRING
b	agv_auto_seg	STRING
b	avlbl_port_flag	STRING
b	avlbl_oht_flag	STRING
b	best_work_request_time	STRING
b	work_order_reserve_flag	DOUBLE
b	control_mode	STRING
b	request_wait_time	DOUBLE
b	bcr_mode_seg	STRING
b	tool_controller_name	STRING
b	rmm_flag	STRING
b	tpss_eqp_group_name	STRING
b	layer_line_id	STRING
b	sub_line_id	STRING
b	eil_use_yn	STRING
b	eil_id	STRING
b	last_tkin_date	TIMESTAMP
b	wafer_size	DOUBLE
b	virtl_line_id	STRING
b	virtl_area_name	STRING
b	last_work_order_date	TIMESTAMP
b	last_best_work_status	STRING
b	best_work_count	DOUBLE
b	online_yn	STRING
b	online_status_change_date	TIMESTAMP
b	last_best_work_date	TIMESTAMP
b	avlbl_lot_count	DOUBLE
b	roomname	STRING
b	fullauto_err_msg	STRING
b	rent_line_id	STRING
b	remote_cmd_use_type	STRING
b	module_name	STRING
b	simax_pm_code	STRING
b	reticle_type	STRING
b	carr_type	STRING
a	process	STRING
a	step	STRING
a	ppid	STRING
a	productname	STRING
a	eqpid	STRING
a	chamberid	STRING
a	reticle	STRING
a	seqno	DOUBLE
a	checkcount	DOUBLE
a	tkin_count	DOUBLE
a	meas_count	DOUBLE
a	checkstep	STRING
a	part	STRING
a	type	STRING
a	operatorid	STRING
a	owner	STRING
a	schedulepriority	STRING
a	updated	TIMESTAMP
a	eventtime	TIMESTAMP
a	comment_	STRING
a	capaname	STRING
